time,precipitation
2022-01-02,38.3
2022-01-09,101.79999999999995
2022-01-16,45.500000000000014
2022-01-23,15.700000000000001
2022-01-30,6.6000000000000005
2022-02-06,5.099999999999999
2022-02-13,1.2
2022-02-20,11.899999999999997
2022-02-27,35.199999999999996
2022-03-06,67.19999999999993
2022-03-13,8.399999999999999
2022-03-20,37.70000000000002
2022-03-27,24.100000000000005
2022-04-03,16.2
2022-04-10,26.70000000000001
2022-04-17,10.799999999999997
2022-04-24,21.600000000000005
2022-05-01,19.3
2022-05-08,36.50000000000003
2022-05-15,37.50000000000001
2022-05-22,8.599999999999994
2022-05-29,28.699999999999996
2022-06-05,40.60000000000001
2022-06-12,34.600000000000016
2022-06-19,8.599999999999996
2022-06-26,2.1000000000000005
2022-07-03,6.499999999999999
2022-07-10,1.5000000000000002
2022-07-17,0.7999999999999999
2022-07-24,0.2
2022-07-31,0.0
2022-08-07,0.6
2022-08-14,9.5
2022-08-21,0.4
2022-08-28,4.499999999999998
2022-09-04,1.3000000000000003
2022-09-11,0.2
2022-09-18,3.9000000000000004
2022-09-25,0.7999999999999999
2022-10-02,4.299999999999999
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,20.400000000000002
2022-10-30,50.60000000000001
2022-11-06,65.80000000000004
2022-11-13,8.8
2022-11-20,0.0
2022-11-27,40.30000000000002
2022-12-04,43.10000000000002
2022-12-11,35.20000000000001
2022-12-18,3.8000000000000007
2022-12-25,64.60000000000005
2023-01-01,73.59999999999998
